# z (m), U (m/s), V (m/s), M (m/s), Theta (K), Ri (1)
2.060666659279999919e+02, 9.102693447697042473e+00, -1.181426593103728634e-01, 9.103897742840013407e+00, 2.655293343523352405e+02, 2.094796783446487565e-01
2.080506100910000100e+02, 8.942558439430378314e+00, -1.814204047544962783e-01, 8.944830495755322630e+00, 2.656187865093317555e+02, 2.220711881958442602e-01
2.100450486690000105e+02, 8.771937065615347251e+00, -2.133006314084262556e-01, 8.774914707524990476e+00, 2.657101181666317871e+02, 1.959487810627810189e-01
2.120500371749999999e+02, 8.589878409819995397e+00, -2.107644643078757374e-01, 8.592753214217410118e+00, 2.658051517273519835e+02, 2.354521160186572593e-01
2.140656314130000055e+02, 8.411113063155323033e+00, -1.789583425872017519e-01, 8.413197283879149779e+00, 2.659052518017044804e+02, 1.840064875687082435e-01
2.160918874850000009e+02, 8.218169909989441635e+00, -1.093395904767030524e-01, 8.218980869058981398e+00, 2.660187137492507645e+02, 2.503727211772924788e-01
2.181288617870000053e+02, 8.055280827711827740e+00, -3.184018826210989472e-02, 8.055356295858652871e+00, 2.661350966614877507e+02, 6.918373241049382116e+00
2.201766110169999990e+02, 8.001569501101855053e+00, -1.041498544903651791e-03, 8.001569595560923176e+00, 2.662002733331657396e+02, 6.761053596706452081e+05
2.222351921700000048e+02, 8.000000605323982938e+00, -4.611229493553198322e-07, 8.000000605324007807e+00, 2.662219653343454979e+02, 3.744567224855274000e+15
2.243046625430000063e+02, 8.000000000006767920e+00, -5.293321495320501106e-12, 8.000000000006767920e+00, 2.662426907564697558e+02, 1.566376483490527340e+24
2.263850797359999945e+02, 7.999999999999958256e+00, 1.786689278060160249e-13, 7.999999999999958256e+00, 2.662635083358812835e+02, 8.858621761155535062e+23
2.284765016549999928e+02, 7.999999999999960032e+00, 1.498861696574287593e-13, 7.999999999999960032e+00, 2.662844197355437359e+02, 3.355408774904407329e+23
2.305789865110000108e+02, 7.999999999999960032e+00, 1.446109859502067598e-13, 7.999999999999960032e+00, 2.663054418401959538e+02, 1.694877489504787381e+24
2.326925928240000019e+02, 7.999999999999950262e+00, 1.703772066117230222e-13, 7.999999999999950262e+00, 2.663266007504662412e+02, 4.330357251704682342e+24
2.348173794219999877e+02, 7.999999999999960032e+00, 1.436263468951044939e-13, 7.999999999999960032e+00, 2.663478991685087749e+02, 6.695244491229612629e+25
2.369534054449999871e+02, 7.999999999999960032e+00, 1.438644991991167562e-13, 7.999999999999960032e+00, 2.663693172458042682e+02, 1.191812790485452608e+25
2.391007303469999954e+02, 7.999999999999952927e+00, 1.748744895720685084e-13, 7.999999999999952927e+00, 2.663908385196377253e+02, 4.242634225816546979e+24
2.412594138940000050e+02, 7.999999999999952927e+00, 1.740631025700367233e-13, 7.999999999999952927e+00, 2.664124575321019961e+02, 2.017028817523385079e+25
2.434295161699999994e+02, 7.999999999999960032e+00, 1.537674863877007707e-13, 7.999999999999960032e+00, 2.664342268890629839e+02, 2.022485997876127633e+25
2.456110975770000096e+02, 7.999999999999960032e+00, 1.488900764668472487e-13, 7.999999999999960032e+00, 2.664561137198979850e+02, 2.007171614579862846e+25
2.478042188340000109e+02, 7.999999999999955591e+00, 1.764325877696229798e-13, 7.999999999999955591e+00, 2.664780649845424705e+02, 3.991425409541869876e+24
2.500089409859999989e+02, 7.999999999999950262e+00, 1.794724986431572446e-13, 7.999999999999950262e+00, 2.665001182439960417e+02, 4.679160698557864677e+24
2.522253253949999987e+02, 7.999999999999958256e+00, 1.759466177925385061e-13, 7.999999999999958256e+00, 2.665222827684337403e+02, 2.936300763734244849e+25
2.544534337519999951e+02, 7.999999999999968026e+00, 1.422843931638714880e-13, 7.999999999999968026e+00, 2.665445638463635305e+02, 5.380603242297567268e+22
2.566933280729999751e+02, 7.999999999999960032e+00, 1.437930046401547434e-13, 7.999999999999960032e+00, 2.665669628921987169e+02, 1.424110400865517563e+23
2.589450707010000201e+02, 7.999999999999950262e+00, 1.761543556635060267e-13, 7.999999999999950262e+00, 2.665894804799590361e+02, 3.829323631408022437e+23
2.612087243099999796e+02, 7.999999999999950262e+00, 1.733384423505865094e-13, 7.999999999999950262e+00, 2.666121171775432686e+02, 4.765222302786867540e+25
2.634843519059999721e+02, 7.999999999999950262e+00, 1.698425794113502520e-13, 7.999999999999950262e+00, 2.666348736125700043e+02, 6.160583885279232344e+25
